item,from_unit,to_unit,conversion_type
"Produce, Onions, Yellow",case,lb,standard
"Dry Goods, Ketchup Packets",case,oz,standard
"Dry Goods, Ketchup Packets",case,oz,standard
"Dry Goods, Shortening, Pork Lard",case,g,standard
"Dry Goods, Shortening, Pork Lard",case,oz,standard
"Dry Goods, Shortening, Pork Lard",case,oz,standard
"Dry Goods, Shortening, Pork Lard",case,oz,standard
"Dry Goods, Shortening, Pork Lard",case,oz,standard
"Dry Goods, Shortening, Pork Lard",case,oz,standard
"Dry Goods, Shortening, Pork Lard",case,g,standard
"Dry Goods, Shortening, Pork Lard",case,oz,standard
"Dry Goods, Chicken  Breading, Lea Jane Recipe",case,oz,standard
"Dry Goods, Chicken  Breading, Lea Jane Recipe",case,oz,standard
"Dry Goods, Chicken  Breading, Lea Jane Recipe",case,oz,standard
"Dry Goods, Chicken  Breading, Lea Jane Recipe",case,oz,standard
"Dry Goods, Chicken  Breading, Lea Jane Recipe",case,oz,standard
"Dry Goods, Chicken  Breading, Lea Jane Recipe",case,oz,standard
"Dry Goods, Chicken  Breading, Lea Jane Recipe",case,oz,standard
"Dry Goods, Chicken  Breading, Lea Jane Recipe",case,oz,standard
"Dry Goods, Chicken  Breading, Lea Jane Recipe",case,oz,standard
"Dry Goods, Chicken  Breading, Lea Jane Recipe",case,oz,standard
"Dry Goods, Chicken  Breading, Lea Jane Recipe",case,oz,standard
"Dry Goods, Chicken  Breading, Lea Jane Recipe",case,oz,standard
"Dry Goods, Chicken  Breading, Lea Jane Recipe",case,oz,standard
"Dry Goods, Chicken  Breading, Lea Jane Recipe",case,oz,standard
"Dry Goods, Chicken  Breading, Lea Jane Recipe",case,oz,standard
"Dry Goods, Mayonnaise, Heavy",each,oz,standard
"Dry Goods, Mayonnaise, Heavy",each,oz,standard
"Dry Goods, Mayonnaise, Heavy",each,oz,standard
"Dry Goods, Mayonnaise, Heavy",each,oz,standard
"Dry Goods, Mayonnaise, Heavy",each,cup,standard
"Dry Goods, Mayonnaise, Heavy",each,fl oz,standard
"Dry Goods, Mayonnaise, Heavy",each,qt,standard
"Dairy, Milk, Whole",case,fl oz,standard
"Dairy, Milk, Whole",case,gal,standard
"Dairy, Milk, Whole",case,fl oz,standard
"Dairy, Milk, Whole",case,fl oz,standard
"Dairy, Milk, Whole",case,gal,standard
"Dry Goods, Ranch Dressing, Mix, Dry",case,oz,standard
"Dry Goods, Mustard, Creole",each,qt,standard
"N/A Bev, WATER PLST BTL CLR TWIST CAP",case,qt,standard
"Dry Goods, Oil, Canola, Salad",case,gal,standard
"Dry Goods, Oil, Canola, Salad",case,lb,standard
"Dry Goods, Olive and Truffle Oil",case,g,standard
"Dry Goods,  Spice, Paprika, Powder",case,g,standard
"Dry Goods,  Spice, Paprika, Powder",case,oz,standard
"Dry Goods,  Spice, Paprika, Powder",case,g,standard
"Dry Goods,  Spice, Paprika, Powder",case,g,standard
"Dry Goods, Pasta, Cavatappi",case,lb,standard
"Dry Goods, Pasta, Cavatappi",case,oz,standard
"Dry Goods, Pasta, Cavatappi",case,oz,standard
"Dry Goods, Pasta, Cavatappi",case,oz,standard
"Dry Goods, Pasta, Cavatappi",case,oz,standard
"Produce, Cabbage, Red, Shredded",each,lb,standard
"Produce, Cabbage, Red, Shredded",each,lb,standard
PD KALE CHOPPED,case,lb,standard
"Produce, Lettuce, Romaine",case,oz,standard
"Produce, Shallots, Peeled, Fresh",case,lb,standard
"Dry Goods, Chipotle Peppers, Can",case,oz,standard
"Dry Goods, Pickle, DIll, Slices",each,oz,standard
"Dry Goods, Pickle, DIll, Slices",each,oz,standard
"Dry Goods, Pickle, DIll, Slices",each,oz,standard
"Dry Goods, Pickle, DIll, Slices",each,oz,standard
"Dry Goods, Pickle, DIll, Slices",each,oz,standard
"Dry Goods, Pickle, DIll, Slices",each,oz,standard
"Dry Goods, Pickle, DIll, Slices",each,oz,standard
"Dry Goods, Pickle, DIll, Slices",each,oz,standard
"Dry Goods, Pickle, DIll, Slices",each,oz,standard
"Dry Goods, Pickle, DIll, Slices",each,oz,standard
"Dry Goods, Pickle, DIll, Slices",each,oz,standard
"Dry Goods, Crackers, Ritz",case,lb,standard
"Dry Goods, Salt, Kosher",case,g,standard
"Dry Goods, Salt, Kosher",case,oz,standard
"Dry Goods, Salt, Kosher",case,oz,standard
"Dry Goods, Salt, Kosher",case,g,standard
"Dry Goods, Salt, Kosher",case,cup,standard
"Dry Goods, Salt, Kosher",case,oz,standard
"Dry Goods, Salt, Kosher",case,oz,standard
"Dry Goods, Sauce, Chile Sambal",each,qt,standard
"Dry Goods, Sauce, Chile Sambal",each,oz,standard
"Dry Goods, Sauce, Chile Sambal",each,qt,standard
"Dry Goods, Sauce, Buffalo Wing Red Hot",jug,fl oz,standard
"Dry Goods, Sauce, Buffalo Wing Red Hot",jug,fl oz,standard
"Dry Goods, Sauce, Chilli & Garlic",jar,oz,standard
Dry Good.SAUCE SOY,case,fl oz,standard
"Dry Goods, Sauce, BBQ Hickory",each,fl oz,standard
"Produce, Kale, Green, Fresh, by Weight",case,lb,standard
"Dry Goods, Spice, Cayenne Pepper, Ground",bg,g,standard
"Dry Goods, Spice, Cayenne Pepper, Ground",bg,g,standard
"Dry Goods, Sugar, White",case,lb,standard
"Dry Goods, Sugar, White",case,cup,standard
"Dry Goods, Sugar, White",case,lb,standard
SUGAR EFG GRANULATED 403522,each,oz,standard
"Produce, VINEGAR APPLE CIDER SPW LN",each,cup,standard
"Dry Goods, Vinegar, White",each,qt,standard
"Dry Goods, Vinegar, White",each,oz,standard
"Dry Goods, Vinegar, White",each,qt,standard
"Dry Goods, Vinegar, White",each,oz,standard
"Dry Goods, Vinegar, White",each,qt,standard
"Dry Goods, Vinegar, White",each,gal,standard
