recipe_id,ingredient_id,recipe_name,bad_name,suggestion_1,score_1,id_1,suggestion_2,score_2,id_2,suggestion_3,score_3,id_3,selected_id,action
107,493,Hot Honey Sauce,Dry Good.SAUCE SOY,,,,,,,,,,,
107,491,Hot Honey Sauce,"Dry Goods, Honey, Natural",,,,,,,,,,,
107,495,Hot Honey Sauce,"Dry Goods, Onion Powder",,,,,,,,,,,
107,492,Hot Honey Sauce,"Dry Goods, Sambal Chill Sauce (wt)",,,,,,,,,,,
107,490,Hot Honey Sauce,"Dry Goods, Sauce, Tomato Ketchup, Jug",,,,,,,,,,,
107,494,Hot Honey Sauce,Garlic Salt,,,,,,,,,,,
108,486,Kale - Chopped,"Produce, Kale, Green, Fresh, by Weight",,,,,,,,,,,
109,487,Lemon Pepper Sauce - Portion,Dry Food. Lemon Pepper,,,,,,,,,,,
110,378,Alabama White BBQ,"Dry Good,  Cayenne Pepper, Spice",,,,,,,,,,,
110,379,Alabama White BBQ,"Dry Goods, Black Pepper, Ground",,,,,,,,,,,
110,375,Alabama White BBQ,"Dry Goods, Mayonnaise, Heavy",,,,,,,,,,,
110,376,Alabama White BBQ,"Produce, VINEGAR APPLE CIDER SPW LN",,,,,,,,,,,
110,377,Alabama White BBQ,Worcestershire Sauce,,,,,,,,,,,
111,295,Shredded Carrots,"Produce, Carrots, Jumbo, Fresh",,,,,,,,,,,
112,334,Shredded Cabbage,"Produce, CABBAGE GREEN SHREDDED",,,,,,,,,,,
113,535,Comeback Sauce - Portion,Comeback sauce,,,,,,,,,,,
114,530,Hot Honey Chicken Wings,"Dry Goods, Bread, Texas Toast",,,,,,,,,,,
114,533,Hot Honey Chicken Wings,"Dry Goods, Chicken  Breading, Lea Jane Recipe",,,,,,,,,,,
114,531,Hot Honey Chicken Wings,"Dry Goods, Pickle, DIll, Slices",,,,,,,,,,,
114,532,Hot Honey Chicken Wings,"Dry Goods, Shortening, Pork Lard",,,,,,,,,,,
114,529,Hot Honey Chicken Wings,"Protein, Chicken, Wing",,,,,,,,,,,
115,393,Chicken Wings,"Dry Goods, Bread, Texas Toast",,,,,,,,,,,
115,396,Chicken Wings,"Dry Goods, Chicken  Breading, Lea Jane Recipe",,,,,,,,,,,
115,394,Chicken Wings,"Dry Goods, Pickle, DIll, Slices",,,,,,,,,,,
115,395,Chicken Wings,"Dry Goods, Shortening, Pork Lard",,,,,,,,,,,
115,392,Chicken Wings,"Protein, Chicken, Wing",,,,,,,,,,,
116,426,Buffalo Sauce - portion,"Dry Goods, Sauce, Buffalo Wing Red Hot",,,,,,,,,,,
117,474,Hot Fish,"Dry Goods, Bread,  Burger Bun",,,,,,,,,,,
117,477,Hot Fish,"Dry Goods, Chicken  Breading, Lea Jane Recipe",,,,,,,,,,,
117,476,Hot Fish,"Dry Goods, MAYONNAISE  HVY PLST SHLF",,,,,,,,,,,
117,478,Hot Fish,"Dry Goods, Pickle, DIll, Slices",,,,,,,,,,,
117,475,Hot Fish,"Protein, Catfish, Fillet, Fresh",,,,,,,,,,,
118,524,BBQ Sauce Chicken Wings,"Dry Goods, Bread, Texas Toast",,,,,,,,,,,
118,527,BBQ Sauce Chicken Wings,"Dry Goods, Chicken  Breading, Lea Jane Recipe",,,,,,,,,,,
118,525,BBQ Sauce Chicken Wings,"Dry Goods, Pickle, DIll, Slices",,,,,,,,,,,
118,528,BBQ Sauce Chicken Wings,"Dry Goods, Sauce, BBQ",,,,,,,,,,,
118,526,BBQ Sauce Chicken Wings,"Dry Goods, Shortening, Pork Lard",,,,,,,,,,,
118,523,BBQ Sauce Chicken Wings,"Protein, Chicken, Wing",,,,,,,,,,,
119,466,Buffalo Chicken Wings,"Dry Goods, Bread, Texas Toast",,,,,,,,,,,
119,469,Buffalo Chicken Wings,"Dry Goods, Chicken  Breading, Lea Jane Recipe",,,,,,,,,,,
119,467,Buffalo Chicken Wings,"Dry Goods, Pickle, DIll, Slices",,,,,,,,,,,
119,470,Buffalo Chicken Wings,"Dry Goods, Sauce, Buffalo Wing Red Hot",,,,,,,,,,,
119,468,Buffalo Chicken Wings,"Dry Goods, Shortening, Pork Lard",,,,,,,,,,,
119,465,Buffalo Chicken Wings,"Protein, Chicken, Wing",,,,,,,,,,,
120,308,Lemon Pepper Chicken Wings,Dry Food. Lemon Pepper,,,,,,,,,,,
120,304,Lemon Pepper Chicken Wings,"Dry Goods, Bread, Texas Toast",,,,,,,,,,,
120,307,Lemon Pepper Chicken Wings,"Dry Goods, Chicken  Breading, Lea Jane Recipe",,,,,,,,,,,
120,305,Lemon Pepper Chicken Wings,"Dry Goods, Pickle, DIll, Slices",,,,,,,,,,,
120,306,Lemon Pepper Chicken Wings,"Dry Goods, Shortening, Pork Lard",,,,,,,,,,,
120,303,Lemon Pepper Chicken Wings,"Protein, Chicken, Wing",,,,,,,,,,,
121,423,Mac & Cheese,"Dry Goods, Pasta, Cavatappi",,,,,,,,,,,
121,422,Mac & Cheese,Mac Sauce,,,,,,,,,,,
123,329,Collard Greens Recipe,"Dairy,  Clarified Butter",,,,,,,,,,,
123,328,Collard Greens Recipe,"Dry Goods, Chicken Base, Paste",,,,,,,,,,,
123,326,Collard Greens Recipe,"Dry Goods, Chipotle Peppers, Can",,,,,,,,,,,
123,330,Collard Greens Recipe,"Dry Goods, Sugar, White",,,,,,,,,,,
123,323,Collard Greens Recipe,"Produce, Collard Green, Frozen, Chopped",,,,,,,,,,,
123,325,Collard Greens Recipe,"Produce, Onions, Yellow",,,,,,,,,,,
123,324,Collard Greens Recipe,"Protein, Pork Belly, Diced, Hickory Smoked",,,,,,,,,,,
123,327,Collard Greens Recipe,"Water, Tap",,,,,,,,,,,
124,337,Loaded Fries,"Dairy, Cheese Sauce, Loaf, American",,,,,,,,,,,
124,339,Loaded Fries,"Dry Goods, Chicken  Breading, Lea Jane Recipe",,,,,,,,,,,
124,336,Loaded Fries,"Protein, Chicken, Tenders",,,,,,,,,,,
125,539,Hot Fat,"Dry Goods,  Spice, Paprika, Powder",,,,,,,,,,,
125,538,Hot Fat,"Dry Goods, Shortening, Pork Lard",,,,,,,,,,,
125,540,Hot Fat,"Dry Goods, Spice, Cayenne Pepper, Ground",,,,,,,,,,,
126,472,Clucking Spice (Seasoning Blend),"Dry Good,  Cayenne Pepper, Spice",,,,,,,,,,,
126,473,Clucking Spice (Seasoning Blend),"Dry Goods,  Spice, Paprika, Powder",,,,,,,,,,,
126,471,Clucking Spice (Seasoning Blend),"Dry Goods, Spice, Ghost Pepper",,,,,,,,,,,
127,414,Onion Ranch,"Dairy, Egg",,,,,,,,,,,
127,416,Onion Ranch,"Dry Goods, Black Pepper, Ground",,,,,,,,,,,
127,417,Onion Ranch,"Dry Goods, Oil, Canola, Salad",,,,,,,,,,,
127,418,Onion Ranch,"Dry Goods, Salt, Kosher",,,,,,,,,,,
127,415,Onion Ranch,"Dry Goods, Vinegar, White",,,,,,,,,,,
127,413,Onion Ranch,"Produce, Onions, Yellow",,,,,,,,,,,
128,513,Comeback sauce,"Dry Goods, Mayonnaise, Heavy",,,,,,,,,,,
128,514,Comeback sauce,"Dry Goods, Mustard, Creole",,,,,,,,,,,
128,516,Comeback sauce,"Dry Goods, Salt, Kosher",,,,,,,,,,,
128,515,Comeback sauce,"Dry Goods, Sauce, Chile Sambal",,,,,,,,,,,
129,518,Plain Jane Sandwich,"Dry Goods, Bread,  Burger Bun",,,,,,,,,,,
129,520,Plain Jane Sandwich,"Dry Goods, Chicken  Breading, Lea Jane Recipe",,,,,,,,,,,
129,519,Plain Jane Sandwich,"Dry Goods, Mayonnaise, Heavy",,,,,,,,,,,
129,521,Plain Jane Sandwich,"Dry Goods, Pickle, DIll, Slices",,,,,,,,,,,
129,517,Plain Jane Sandwich,"Protein, Chicken, Tenders",,,,,,,,,,,
131,404,Pickled Shallot,"Dry Goods, Sugar, White",,,,,,,,,,,
131,403,Pickled Shallot,"Dry Goods, Vinegar, White",,,,,,,,,,,
131,405,Pickled Shallot,"Produce, Shallots, Peeled, Fresh",,,,,,,,,,,
132,431,Tenders,"Dry Goods, Chicken  Breading, Lea Jane Recipe",,,,,,,,,,,
132,430,Tenders,"Dry Goods, Shortening, Pork Lard",,,,,,,,,,,
132,429,Tenders,"Protein, Chicken, Tenders",,,,,,,,,,,
